8 8 35.85
8 16 36.4
8 32 33.7
8 64 34.4
8 128 43.55
8 256 68.45
8 512 87.25
8 1024 90.1
16 8 35.85
16 16 34.35
16 32 36.85
16 64 38.1
16 128 47.95
16 256 77.05
16 512 86.15
32 8 30.75
32 16 32.15
32 32 34.6
32 64 34.05
32 128 46.2
32 256 77.4
32 512 81.6
64 8 29.05
64 16 26.15
64 32 28.9
64 64 40.7
64 128 56.55
64 256 77.7
128 8 29.9
128 16 25.25
128 32 29.25
128 64 44.45
128 128 69.6
128 256 71.4
256 8 10.0
256 16 13.3
256 32 12.45
256 64 24.4
256 128 85.65
512 8 16.95
512 16 19.2
512 32 18.55
512 64 58.35
512 128 89.65
