8 8 97.0
8 16 95.4
8 32 93.5
8 64 85.9
8 128 69.9
8 256 57.3
8 512 53.4
16 8 96.9
16 16 95.3
16 32 90.8
16 64 79.3
16 128 64.3
16 256 53.3
16 512 62.5
32 8 95.7
32 16 94.0
32 32 87.5
32 64 72.4
32 128 56.8
32 256 53.2
64 8 95.3
64 16 92.9
64 32 86.3
64 64 65.6
64 128 61.6
64 256 61.5
128 8 96.7
128 16 93.0
128 32 84.3
128 128 55.6
256 8 96.0
256 16 93.2
256 32 80.1
256 64 63.0
256 128 67.3
512 8 96.3
512 16 92.2
512 32 82.1
512 64 69.5
