8 8 1538.998
8 16 1540.998
8 32 1550.998
8 64 1594.9950000000001
8 128 1777.792
8 256 2521.395
8 512 5600.8
8 1024 18563.0
16 8 1548.9950000000001
16 16 1552.9940000000001
16 32 1572.992
16 64 1654.984
16 128 2012.7830000000001
16 256 3482.2
16 512 9810.8
32 8 1558.988
32 16 1566.986
32 32 1612.975
32 64 1784.973
32 128 2525.172
32 256 5588.2
32 512 18416.8
64 8 1592.959
64 16 1610.951
64 32 1668.9309999999998
64 64 2012.9630000000002
64 128 3542.0
64 256 9834.2
64 512 31755.940000000002
128 8 1620.876
128 16 1632.874
128 32 1792.8739999999998
128 64 2559.388
128 128 5826.197999999999
128 256 17838.4
256 8 1632.915
256 16 1706.9150000000002
256 32 2104.75
256 64 3658.8
256 128 9815.0
256 256 31471.0
512 8 1810.11
512 16 1974.11
512 32 2779.5099999999998
512 64 5487.0
512 128 18431.0
