8 8 3.1968989
8 16 3.1823533
8 32 3.081445
8 64 3.1242525
8 128 3.2137656999999997
8 256 5.777165599999999
8 512 18.2224154
8 1024 67.03922
16 8 1.6927167
16 16 1.583493
16 32 1.5568294999999999
16 64 1.5758143
16 128 2.0635667
16 256 5.1098239
16 512 17.3426879
32 8 0.8511248
32 16 0.8917128
32 32 0.8936054
32 64 0.8142583
32 128 1.4714614
32 256 4.562061399999999
32 512 16.7173428
64 8 0.5215557000000001
64 16 0.42880209999999996
64 32 0.4705289
64 64 0.5900589999999999
64 128 1.3247493000000001
64 256 4.2792454
64 512 16.380117300000002
128 8 0.30007000000000006
128 16 0.31087699999999996
128 32 0.3209364
128 64 0.48274139999999993
128 128 1.2078158999999997
128 256 4.2469501
256 8 0.2146093
256 16 0.22311740000000002
256 32 0.2580419
256 64 0.4311999000000001
256 128 1.1910226999999998
256 256 4.2385049
512 8 0.1733942
512 16 0.1813147
512 32 0.22597930000000002
512 64 0.3958201
512 128 1.1590661
