8 8 55.4
8 16 54.4
8 32 59.8
8 64 66.7
8 128 83.1
8 256 93.6
8 512 96.8
8 1024 97.0
16 8 57.4
16 16 59.0
16 32 65.4
16 64 76.5
16 128 83.2
16 256 93.4
16 512 97.8
32 8 64.0
32 16 55.9
32 32 65.1
32 64 88.9
32 128 91.4
32 256 94.7
32 512 96.6
64 8 58.1
64 16 76.2
64 32 74.2
64 64 86.4
64 128 92.7
64 256 98.6
64 512 97.3
128 8 89.8
128 16 89.5
128 32 93.9
128 64 93.8
128 128 92.9
128 256 98.0
256 8 92.1
256 16 91.3
256 32 94.3
256 64 92.8
256 128 92.8
256 256 100.0
512 8 93.1
512 16 94.9
512 32 96.3
512 64 95.1
512 128 100.0
